game_id,player,trueskill_mu_after,trueskill_sigma_after,trueskill_conservative_after
24,AC,21.896124179719177,7.451346821205156,-0.45791628389629224
25,AC,20.69927252520239,7.011951760852345,-0.33658275735464827
26,AC,19.525017584416595,6.610464769796583,-0.3063767249731555
27,AC,22.64162446438513,5.98922354758907,4.673953821617921
28,AC,26.81544038801267,5.406700914470312,10.595337644601738
29,AC,24.002836544434498,4.982278510673679,9.05600101241346
31,AC,23.03444251612647,4.780061825994821,8.694257038142009
34,AC,22.686832133705852,4.6751786157887105,8.66129628633972
35,AC,24.229080027827457,4.430088609062334,10.938814200640454
36,AC,22.436588243418345,4.190418923204636,9.865331473804439
37,AC,21.83366818375934,4.060512823859067,9.652129712182138
39,AC,21.013320239193465,3.9118334797580894,9.277819799919197
40,AC,20.82196910841369,3.854159951844922,9.259489252878923
41,AC,21.860289746346286,3.7006698952018104,10.758280060740855
42,AC,21.666233065686086,3.6476526876718087,10.72327500267066
43,AC,22.503094208800555,3.519524188303551,11.944521643889901
45,AC,24.38582945350759,3.351878525391047,14.33019387733445
46,AC,24.145509474128232,3.2963398373660526,14.256489962030074
48,AC,25.573315738815705,3.1658642613695576,16.075722954707032
49,AC,25.010786749543552,3.082671696953696,15.762771658682464
51,AC,24.846463876550757,3.0455778270424485,15.709730395423412
52,AC,25.63820352765939,2.954801723490949,16.773798357186543
53,AC,26.56498234625528,2.8618847537604477,17.979328084973936
59,AC,26.12349153802237,2.7980087728163103,17.72946521957344
60,AC,25.428003069468726,2.7217937283624947,17.262621884381243
64,AC,25.272543554549138,2.6930240344238072,17.193471451277716
65,AC,25.476963707107895,2.659071453264669,17.499749347313887
66,AC,24.309975107537802,2.5825265241214317,16.562395535173508
68,AC,23.849732314514213,2.527442577924645,16.267404580740276
74,AC,24.468128036426982,2.4663828475261704,17.06897949384847
75,AC,24.261598133936037,2.433878779516413,16.959961795386796
76,AC,24.883544783939243,2.3771979723612824,17.751950866855395
77,AC,24.76647074446487,2.3565282328994583,17.696886045766494
88,AC,24.495697172268,2.3226336830228016,17.527796123199593
89,AC,23.989636862800445,2.2761340282939306,17.161234777918654
91,AC,24.23141315322924,2.245515565727344,17.49486645604721
92,AC,24.174338393590958,2.2349319730787838,17.469542474354604
96,AC,24.053395147784716,2.2154326710074095,17.407097134762488
98,AC,23.711564508806674,2.180147493450975,17.17112202845375
100,AC,24.333288573424724,2.1345659341016416,17.9295907711198
101,AC,24.554043159997633,2.1086477712867624,18.228099846137347
103,AC,24.51117570287565,2.101210681864355,18.207543657282585
104,AC,24.17715465981599,2.0698604686668647,17.967573253815395
106,AC,23.830849469657284,2.038081473310399,17.716605049726088
107,AC,23.40446086506476,2.004938022479462,17.389646797626373
109,AC,23.795734293262605,1.9747022346514926,17.871627589308126
110,AC,24.022902497313204,1.952036944783276,18.166791662963377
111,AC,23.324483715193402,1.9177430239105524,17.571254643461746
113,AC,23.209896500820424,1.9041558053170111,17.49742908486939
114,AC,23.866797644039583,1.870696775521515,18.254707317475038
115,AC,23.62931057299307,1.8494705760870709,18.080898844731855
116,AC,23.542802054611602,1.838739695823665,18.026582967140605
117,AC,23.948213519786307,1.8125722697348603,18.510496710581727
118,AC,23.82847181500197,1.799501457505487,18.429967442485506
119,AC,23.749755773336812,1.7900759214809636,18.37952800889392
120,AC,24.100186269160957,1.7669066673637364,18.799466267069747
121,AC,23.99199443176435,1.755363032808808,18.725905333337927
123,AC,23.661748153631518,1.7341232620212699,18.45937836756771
124,AC,23.638304593222916,1.7317060885073547,18.44318632770085
126,AC,23.995902000210194,1.7104906634563721,18.86443000984108
127,AC,23.778169357599342,1.6941216364627516,18.69580444821109
128,AC,23.934271277218055,1.6808735567829343,18.891650606869252
129,AC,23.913328383604487,1.6790446330753208,18.876194484378523
130,AC,23.717708486914145,1.6642207733524603,18.725046166856764
131,AC,24.434537474519416,1.6406157512615338,19.512690220734815
132,AC,24.261427103032183,1.6274827685764168,19.378978797302935
133,AC,24.405106663893942,1.6159684510056136,19.5572013108771
134,AC,24.537988878249376,1.6051949885599468,19.722403912569536
1,CH,22.02628144807439,7.785138858695782,-1.3291351280129575
3,CH,24.95370042698962,7.253911609949412,3.191965597141383
4,CH,21.869301762771357,6.790637755237249,1.4973884970596103
5,CH,25.2063034643388,6.343619949872749,6.175443614720553
