player_a,player_b,games,wins,losses,actual_win_pct,expected_win_pct,synergy,point_diff,avg_point_diff
FZ,SY,18,17,1,0.9444444444444444,0.6907497929025554,0.25369465154188897,108,6.0
FZ,NS,23,19,4,0.8260869565217391,0.6595861173305178,0.16650083919122138,125,5.434782608695652
CH,FZ,40,35,5,0.875,0.7435504992824942,0.13144950071750583,253,6.325
SY,TD,6,3,3,0.5,0.3928160871617999,0.10718391283820011,-2,-0.3333333333333333
CH,SY,24,15,9,0.625,0.5349013266347805,0.09009867336521948,35,1.4583333333333333
FZ,TT,18,12,6,0.6666666666666666,0.5840996371619106,0.08256702950475603,49,2.7222222222222223
AC,FZ,27,17,10,0.6296296296296297,0.5509535157751144,0.07867611385451523,24,0.8888888888888888
CH,NS,40,22,18,0.55,0.5131128617719648,0.03688713822803524,40,1.0
TD,TT,9,3,6,0.3333333333333333,0.3023673102771596,0.03096602305617374,-33,-3.6666666666666665
CH,TT,22,11,11,0.5,0.49194112921883115,0.008058870781168848,12,0.5454545454545454
SY,TT,17,8,9,0.47058823529411764,0.4674859787166753,0.0031022565774423416,-1,-0.058823529411764705
FZ,TD,11,6,5,0.5454545454545454,0.5901346070556858,-0.04468006160114035,7,0.6363636363636364
AC,RS,6,1,5,0.16666666666666666,0.21543191391626595,-0.0487652472495993,-35,-5.833333333333333
NS,TT,6,2,4,0.3333333333333333,0.4004499593932551,-0.0671166260599218,-13,-2.1666666666666665
AC,NS,17,4,13,0.23529411764705882,0.30931483671466414,-0.07402071906760532,-69,-4.0588235294117645
CH,RS,11,4,7,0.36363636363636365,0.4520286167333001,-0.08839225309693644,-14,-1.2727272727272727
RS,SY,6,2,4,0.3333333333333333,0.42487726877458315,-0.09154393544124984,-24,-4.0
AC,CH,19,6,13,0.3157894736842105,0.40736936130164464,-0.09157988761743413,-59,-3.1052631578947367
AC,SY,20,7,13,0.35,0.4453517542930303,-0.09535175429303033,-28,-1.4
NS,SY,13,5,8,0.38461538461538464,0.4826426950819264,-0.09802731046654178,-14,-1.0769230769230769
AC,TT,11,1,10,0.09090909090909091,0.2219129346314033,-0.13100384372231239,-48,-4.363636363636363
FZ,RS,9,4,5,0.4444444444444444,0.5775029572685264,-0.133058512824082,-24,-2.6666666666666665
CH,TD,15,4,11,0.26666666666666666,0.42347759317176786,-0.1568109265051012,-42,-2.8
NS,TD,10,1,9,0.1,0.31792340828185467,-0.21792340828185466,-64,-6.4
NS,RS,5,0,5,0.0,0.23102592271223776,-0.23102592271223776,-55,-11.0
AC,TD,6,0,6,0.0,0.26615127451095283,-0.26615127451095283,-59,-9.833333333333334
RS,TD,4,0,4,0.0,0.3029859782202317,-0.3029859782202317,-27,-6.75
RS,TT,5,0,5,0.0,0.40641819623575703,-0.40641819623575703,-42,-8.4
